Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","5203","Northern America","5312","Area harvested","221","Almonds, with shell","1974","1974","ha","93560","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5203","Northern America","5312","Area harvested","221","Almonds, with shell","1975","1975","ha","100680","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5203","Northern America","5312","Area harvested","221","Almonds, with shell","1976","1976","ha","104370","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5203","Northern America","5312","Area harvested","221","Almonds, with shell","1977","1977","ha","111890","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5203","Northern America","5312","Area harvested","221","Almonds, with shell","1978","1978","ha","124520","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5203","Northern America","5312","Area harvested","221","Almonds, with shell","1979","1979","ha","131160","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5203","Northern America","5312","Area harvested","221","Almonds, with shell","1980","1980","ha","132250","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5203","Northern America","5312","Area harvested","221","Almonds, with shell","1981","1981","ha","132010","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5203","Northern America","5312","Area harvested","221","Almonds, with shell","1982","1982","ha","137190","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5203","Northern America","5312","Area harvested","221","Almonds, with shell","1983","1983","ha","145680","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5203","Northern America","5312","Area harvested","221","Almonds, with shell","1984","1984","ha","154180","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5203","Northern America","5312","Area harvested","221","Almonds, with shell","1985","1985","ha","165510","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5203","Northern America","5312","Area harvested","221","Almonds, with shell","1986","1986","ha","168350","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5203","Northern America","5312","Area harvested","221","Almonds, with shell","1987","1987","ha","168750","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5203","Northern America","5312","Area harvested","221","Almonds, with shell","1988","1988","ha","169560","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5203","Northern America","5312","Area harvested","221","Almonds, with shell","1989","1989","ha","166330","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5203","Northern America","5312","Area harvested","221","Almonds, with shell","1990","1990","ha","166330","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5203","Northern America","5312","Area harvested","221","Almonds, with shell","1991","1991","ha","163900","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5203","Northern America","5312","Area harvested","221","Almonds, with shell","1992","1992","ha","162280","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5203","Northern America","5312","Area harvested","221","Almonds, with shell","1993","1993","ha","167130","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5203","Northern America","5312","Area harvested","221","Almonds, with shell","1994","1994","ha","175230","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5203","Northern America","5312","Area harvested","221","Almonds, with shell","1995","1995","ha","169160","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5203","Northern America","5312","Area harvested","221","Almonds, with shell","1996","1996","ha","173200","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5203","Northern America","5312","Area harvested","221","Almonds, with shell","1997","1997","ha","181220","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5203","Northern America","5312","Area harvested","221","Almonds, with shell","1998","1998","ha","188600","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5203","Northern America","5312","Area harvested","221","Almonds, with shell","1999","1999","ha","196800","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5203","Northern America","5312","Area harvested","221","Almonds, with shell","2000","2000","ha","202340","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5203","Northern America","5312","Area harvested","221","Almonds, with shell","2001","2001","ha","214483","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5203","Northern America","5312","Area harvested","221","Almonds, with shell","2002","2002","ha","220554","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5203","Northern America","5312","Area harvested","221","Almonds, with shell","2003","2003","ha","222577","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5203","Northern America","5312","Area harvested","221","Almonds, with shell","2004","2004","ha","230671","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5203","Northern America","5312","Area harvested","221","Almonds, with shell","2005","2005","ha","234718","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5203","Northern America","5312","Area harvested","221","Almonds, with shell","2006","2006","ha","234718","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5203","Northern America","5312","Area harvested","221","Almonds, with shell","2007","2007","ha","259002","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5203","Northern America","5312","Area harvested","221","Almonds, with shell","2008","2008","ha","275189","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5203","Northern America","5312","Area harvested","221","Almonds, with shell","2009","2009","ha","291374","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5203","Northern America","5312","Area harvested","221","Almonds, with shell","2010","2010","ha","311608","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5203","Northern America","5312","Area harvested","221","Almonds, with shell","2011","2011","ha","323749","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5203","Northern America","5312","Area harvested","221","Almonds, with shell","2012","2012","ha","331854","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5203","Northern America","5312","Area harvested","221","Almonds, with shell","2013","2013","ha","343983","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5203","Northern America","5312","Area harvested","221","Almonds, with shell","2014","2014","ha","352077","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5203","Northern America","5312","Area harvested","221","Almonds, with shell","2015","2015","ha","372311","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5203","Northern America","5312","Area harvested","221","Almonds, with shell","2016","2016","ha","392550","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5203","Northern America","5312","Area harvested","221","Almonds, with shell","2017","2017","ha","416830","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5203","Northern America","5312","Area harvested","221","Almonds, with shell","2018","2018","ha","441110","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5203","Northern America","5312","Area harvested","221","Almonds, with shell","2019","2019","ha","477530","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5203","Northern America","5312","Area harvested","221","Almonds, with shell","2020","2020","ha","505858","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5203","Northern America","5419","Yield","221","Almonds, with shell","1961","1961","hg/ha","16669","Fc","Calculated data"
"QCL","Crops and livestock products","5203","Northern America","5419","Yield","221","Almonds, with shell","1962","1962","hg/ha","11558","Fc","Calculated data"
"QCL","Crops and livestock products","5203","Northern America","5419","Yield","221","Almonds, with shell","1963","1963","hg/ha","13684","Fc","Calculated data"
"QCL","Crops and livestock products","5203","Northern America","5419","Yield","221","Almonds, with shell","1964","1964","hg/ha","16517","Fc","Calculated data"
"QCL","Crops and livestock products","5203","Northern America","5419","Yield","221","Almonds, with shell","1965","1965","hg/ha","13932","Fc","Calculated data"
"QCL","Crops and livestock products","5203","Northern America","5419","Yield","221","Almonds, with shell","1966","1966","hg/ha","16126","Fc","Calculated data"
"QCL","Crops and livestock products","5203","Northern America","5419","Yield","221","Almonds, with shell","1967","1967","hg/ha","13781","Fc","Calculated data"
"QCL","Crops and livestock products","5203","Northern America","5419","Yield","221","Almonds, with shell","1968","1968","hg/ha","12362","Fc","Calculated data"
"QCL","Crops and livestock products","5203","Northern America","5419","Yield","221","Almonds, with shell","1969","1969","hg/ha","18355","Fc","Calculated data"
"QCL","Crops and livestock products","5203","Northern America","5419","Yield","221","Almonds, with shell","1970","1970","hg/ha","16360","Fc","Calculated data"
"QCL","Crops and livestock products","5203","Northern America","5419","Yield","221","Almonds, with shell","1971","1971","hg/ha","15995","Fc","Calculated data"
"QCL","Crops and livestock products","5203","Northern America","5419","Yield","221","Almonds, with shell","1972","1972","hg/ha","14088","Fc","Calculated data"
"QCL","Crops and livestock products","5203","Northern America","5419","Yield","221","Almonds, with shell","1973","1973","hg/ha","14063","Fc","Calculated data"
"QCL","Crops and livestock products","5203","Northern America","5419","Yield","221","Almonds, with shell","1974","1974","hg/ha","18326","Fc","Calculated data"
"QCL","Crops and livestock products","5203","Northern America","5419","Yield","221","Almonds, with shell","1975","1975","hg/ha","14417","Fc","Calculated data"
"QCL","Crops and livestock products","5203","Northern America","5419","Yield","221","Almonds, with shell","1976","1976","hg/ha","20252","Fc","Calculated data"
"QCL","Crops and livestock products","5203","Northern America","5419","Yield","221","Almonds, with shell","1977","1977","hg/ha","20188","Fc","Calculated data"
"QCL","Crops and livestock products","5203","Northern America","5419","Yield","221","Almonds, with shell","1978","1978","hg/ha","10396","Fc","Calculated data"
"QCL","Crops and livestock products","5203","Northern America","5419","Yield","221","Almonds, with shell","1979","1979","hg/ha","21006","Fc","Calculated data"
"QCL","Crops and livestock products","5203","Northern America","5419","Yield","221","Almonds, with shell","1980","1980","hg/ha","18137","Fc","Calculated data"
"QCL","Crops and livestock products","5203","Northern America","5419","Yield","221","Almonds, with shell","1981","1981","hg/ha","22980","Fc","Calculated data"
"QCL","Crops and livestock products","5203","Northern America","5419","Yield","221","Almonds, with shell","1982","1982","hg/ha","18748","Fc","Calculated data"
"QCL","Crops and livestock products","5203","Northern America","5419","Yield","221","Almonds, with shell","1983","1983","hg/ha","12356","Fc","Calculated data"
"QCL","Crops and livestock products","5203","Northern America","5419","Yield","221","Almonds, with shell","1984","1984","hg/ha","28473","Fc","Calculated data"
"QCL","Crops and livestock products","5203","Northern America","5419","Yield","221","Almonds, with shell","1985","1985","hg/ha","21268","Fc","Calculated data"
"QCL","Crops and livestock products","5203","Northern America","5419","Yield","221","Almonds, with shell","1986","1986","hg/ha","11250","Fc","Calculated data"
"QCL","Crops and livestock products","5203","Northern America","5419","Yield","221","Almonds, with shell","1987","1987","hg/ha","29630","Fc","Calculated data"
"QCL","Crops and livestock products","5203","Northern America","5419","Yield","221","Almonds, with shell","1988","1988","hg/ha","26356","Fc","Calculated data"
"QCL","Crops and livestock products","5203","Northern America","5419","Yield","221","Almonds, with shell","1989","1989","hg/ha","22317","Fc","Calculated data"
"QCL","Crops and livestock products","5203","Northern America","5419","Yield","221","Almonds, with shell","1990","1990","hg/ha","30049","Fc","Calculated data"
"QCL","Crops and livestock products","5203","Northern America","5419","Yield","221","Almonds, with shell","1991","1991","hg/ha","22648","Fc","Calculated data"
"QCL","Crops and livestock products","5203","Northern America","5419","Yield","221","Almonds, with shell","1992","1992","hg/ha","25401","Fc","Calculated data"
"QCL","Crops and livestock products","5203","Northern America","5419","Yield","221","Almonds, with shell","1993","1993","hg/ha","21767","Fc","Calculated data"
"QCL","Crops and livestock products","5203","Northern America","5419","Yield","221","Almonds, with shell","1994","1994","hg/ha","30246","Fc","Calculated data"
"QCL","Crops and livestock products","5203","Northern America","5419","Yield","221","Almonds, with shell","1995","1995","hg/ha","16316","Fc","Calculated data"
"QCL","Crops and livestock products","5203","Northern America","5419","Yield","221","Almonds, with shell","1996","1996","hg/ha","22258","Fc","Calculated data"
"QCL","Crops and livestock products","5203","Northern America","5419","Yield","221","Almonds, with shell","1997","1997","hg/ha","30295","Fc","Calculated data"
"QCL","Crops and livestock products","5203","Northern America","5419","Yield","221","Almonds, with shell","1998","1998","hg/ha","20838","Fc","Calculated data"
"QCL","Crops and livestock products","5203","Northern America","5419","Yield","221","Almonds, with shell","1999","1999","hg/ha","32063","Fc","Calculated data"
"QCL","Crops and livestock products","5203","Northern America","5419","Yield","221","Almonds, with shell","2000","2000","hg/ha","26342","Fc","Calculated data"
"QCL","Crops and livestock products","5203","Northern America","5419","Yield","221","Almonds, with shell","2001","2001","hg/ha","28402","Fc","Calculated data"
"QCL","Crops and livestock products","5203","Northern America","5419","Yield","221","Almonds, with shell","2002","2002","hg/ha","36275","Fc","Calculated data"
"QCL","Crops and livestock products","5203","Northern America","5419","Yield","221","Almonds, with shell","2003","2003","hg/ha","35325","Fc","Calculated data"
"QCL","Crops and livestock products","5203","Northern America","5419","Yield","221","Almonds, with shell","2004","2004","hg/ha","34074","Fc","Calculated data"
"QCL","Crops and livestock products","5203","Northern America","5419","Yield","221","Almonds, with shell","2005","2005","hg/ha","29969","Fc","Calculated data"
"QCL","Crops and livestock products","5203","Northern America","5419","Yield","221","Almonds, with shell","2006","2006","hg/ha","36049","Fc","Calculated data"
"QCL","Crops and livestock products","5203","Northern America","5419","Yield","221","Almonds, with shell","2007","2007","hg/ha","46830","Fc","Calculated data"
"QCL","Crops and livestock products","5203","Northern America","5419","Yield","221","Almonds, with shell","2008","2008","hg/ha","51238","Fc","Calculated data"
"QCL","Crops and livestock products","5203","Northern America","5419","Yield","221","Almonds, with shell","2009","2009","hg/ha","39887","Fc","Calculated data"
"QCL","Crops and livestock products","5203","Northern America","5419","Yield","221","Almonds, with shell","2010","2010","hg/ha","45371","Fc","Calculated data"
"QCL","Crops and livestock products","5203","Northern America","5419","Yield","221","Almonds, with shell","2011","2011","hg/ha","56883","Fc","Calculated data"
"QCL","Crops and livestock products","5203","Northern America","5419","Yield","221","Almonds, with shell","2012","2012","hg/ha","49871","Fc","Calculated data"
"QCL","Crops and livestock products","5203","Northern America","5419","Yield","221","Almonds, with shell","2013","2013","hg/ha","50375","Fc","Calculated data"
"QCL","Crops and livestock products","5203","Northern America","5419","Yield","221","Almonds, with shell","2014","2014","hg/ha","43897","Fc","Calculated data"
"QCL","Crops and livestock products","5203","Northern America","5419","Yield","221","Almonds, with shell","2015","2015","hg/ha","38580","Fc","Calculated data"
"QCL","Crops and livestock products","5203","Northern America","5419","Yield","221","Almonds, with shell","2016","2016","hg/ha","41213","Fc","Calculated data"
"QCL","Crops and livestock products","5203","Northern America","5419","Yield","221","Almonds, with shell","2017","2017","hg/ha","41188","Fc","Calculated data"
"QCL","Crops and livestock products","5203","Northern America","5419","Yield","221","Almonds, with shell","2018","2018","hg/ha","39024","Fc","Calculated data"
"QCL","Crops and livestock products","5203","Northern America","5419","Yield","221","Almonds, with shell","2019","2019","hg/ha","40750","Fc","Calculated data"
"QCL","Crops and livestock products","5203","Northern America","5419","Yield","221","Almonds, with shell","2020","2020","hg/ha","46852","Fc","Calculated data"
"QCL","Crops and livestock products","5203","Northern America","5510","Production","221","Almonds, with shell","1961","1961","tonnes","60237","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5203","Northern America","5510","Production","221","Almonds, with shell","1962","1962","tonnes","43545","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5203","Northern America","5510","Production","221","Almonds, with shell","1963","1963","tonnes","54159","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5203","Northern America","5510","Production","221","Almonds, with shell","1964","1964","tonnes","68042","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5203","Northern America","5510","Production","221","Almonds, with shell","1965","1965","tonnes","66133","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5203","Northern America","5510","Production","221","Almonds, with shell","1966","1966","tonnes","77201","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5203","Northern America","5510","Production","221","Almonds, with shell","1967","1967","tonnes","69490","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5203","Northern America","5510","Production","221","Almonds, with shell","1968","1968","tonnes","67585","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5203","Northern America","5510","Production","221","Almonds, with shell","1969","1969","tonnes","110676","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5203","Northern America","5510","Production","221","Almonds, with shell","1970","1970","tonnes","112490","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5203","Northern America","5510","Production","221","Almonds, with shell","1971","1971","tonnes","121563","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5203","Northern America","5510","Production","221","Almonds, with shell","1972","1972","tonnes","113398","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5203","Northern America","5510","Production","221","Almonds, with shell","1973","1973","tonnes","121563","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5203","Northern America","5510","Production","221","Almonds, with shell","1974","1974","tonnes","171457","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5203","Northern America","5510","Production","221","Almonds, with shell","1975","1975","tonnes","145149","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5203","Northern America","5510","Production","221","Almonds, with shell","1976","1976","tonnes","211373","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5203","Northern America","5510","Production","221","Almonds, with shell","1977","1977","tonnes","225888","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5203","Northern America","5510","Production","221","Almonds, with shell","1978","1978","tonnes","129455","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5203","Northern America","5510","Production","221","Almonds, with shell","1979","1979","tonnes","275511","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5203","Northern America","5510","Production","221","Almonds, with shell","1980","1980","tonnes","239858","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5203","Northern America","5510","Production","221","Almonds, with shell","1981","1981","tonnes","303361","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5203","Northern America","5510","Production","221","Almonds, with shell","1982","1982","tonnes","257200","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5203","Northern America","5510","Production","221","Almonds, with shell","1983","1983","tonnes","180000","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5203","Northern America","5510","Production","221","Almonds, with shell","1984","1984","tonnes","439000","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5203","Northern America","5510","Production","221","Almonds, with shell","1985","1985","tonnes","352000","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5203","Northern America","5510","Production","221","Almonds, with shell","1986","1986","tonnes","189400","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5203","Northern America","5510","Production","221","Almonds, with shell","1987","1987","tonnes","500000","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5203","Northern America","5510","Production","221","Almonds, with shell","1988","1988","tonnes","446900","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5203","Northern America","5510","Production","221","Almonds, with shell","1989","1989","tonnes","371200","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5203","Northern America","5510","Production","221","Almonds, with shell","1990","1990","tonnes","499800","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5203","Northern America","5510","Production","221","Almonds, with shell","1991","1991","tonnes","371200","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5203","Northern America","5510","Production","221","Almonds, with shell","1992","1992","tonnes","412200","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5203","Northern America","5510","Production","221","Almonds, with shell","1993","1993","tonnes","363800","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5203","Northern America","5510","Production","221","Almonds, with shell","1994","1994","tonnes","530000","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5203","Northern America","5510","Production","221","Almonds, with shell","1995","1995","tonnes","276000","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5203","Northern America","5510","Production","221","Almonds, with shell","1996","1996","tonnes","385500","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5203","Northern America","5510","Production","221","Almonds, with shell","1997","1997","tonnes","549000","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5203","Northern America","5510","Production","221","Almonds, with shell","1998","1998","tonnes","393000","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5203","Northern America","5510","Production","221","Almonds, with shell","1999","1999","tonnes","631000","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5203","Northern America","5510","Production","221","Almonds, with shell","2000","2000","tonnes","533000","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5203","Northern America","5510","Production","221","Almonds, with shell","2001","2001","tonnes","609178","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5203","Northern America","5510","Production","221","Almonds, with shell","2002","2002","tonnes","800051","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5203","Northern America","5510","Production","221","Almonds, with shell","2003","2003","tonnes","786262","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5203","Northern America","5510","Production","221","Almonds, with shell","2004","2004","tonnes","785985","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5203","Northern America","5510","Production","221","Almonds, with shell","2005","2005","tonnes","703431","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5203","Northern America","5510","Production","221","Almonds, with shell","2006","2006","tonnes","846131","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5203","Northern America","5510","Production","221","Almonds, with shell","2007","2007","tonnes","1212900","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5203","Northern America","5510","Production","221","Almonds, with shell","2008","2008","tonnes","1410000","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5203","Northern America","5510","Production","221","Almonds, with shell","2009","2009","tonnes","1162200","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5203","Northern America","5510","Production","221","Almonds, with shell","2010","2010","tonnes","1413800","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5203","Northern America","5510","Production","221","Almonds, with shell","2011","2011","tonnes","1841587","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5203","Northern America","5510","Production","221","Almonds, with shell","2012","2012","tonnes","1655000","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5203","Northern America","5510","Production","221","Almonds, with shell","2013","2013","tonnes","1732800","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5203","Northern America","5510","Production","221","Almonds, with shell","2014","2014","tonnes","1545500","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5203","Northern America","5510","Production","221","Almonds, with shell","2015","2015","tonnes","1436383","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5203","Northern America","5510","Production","221","Almonds, with shell","2016","2016","tonnes","1617816","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5203","Northern America","5510","Production","221","Almonds, with shell","2017","2017","tonnes","1716850","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5203","Northern America","5510","Production","221","Almonds, with shell","2018","2018","tonnes","1721380","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5203","Northern America","5510","Production","221","Almonds, with shell","2019","2019","tonnes","1945912","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5203","Northern America","5510","Production","221","Almonds, with shell","2020","2020","tonnes","2370021","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5203","Northern America","5312","Area harvested","711","Anise, badian, fennel, coriander","1991","1991","ha","","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5203","Northern America","5312","Area harvested","711","Anise, badian, fennel, coriander","1992","1992","ha","","A","Aggregate, may include official, semi-official, estimated or calculated data"
